gc 69 @17.571s 0%: 0.18+5.7+0.060 ms clock, 0.74+1.5/5.6/0.042+0.24 ms cpu, 192->222->142 MB, 225 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 70 @18.462s 0%: 0.18+5.7+0.15 ms clock, 0.74+2.3/4.5/0+0.62 ms cpu, 262->282->142 MB, 285 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 71 @18.485s 0%: 0.14+1.4+0.067 ms clock, 0.57+0.71/1.2/0.65+0.27 ms cpu, 252->272->122 MB, 285 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 72 @18.495s 0%: 0.14+1.2+0.050 ms clock, 0.56+0.23/1.1/1.6+0.20 ms cpu, 212->212->112 MB, 245 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 73 @18.523s 0%: 0.12+1.6+0.048 ms clock, 0.49+0.21/1.3/1.7+0.19 ms cpu, 222->222->112 MB, 225 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 74 @18.532s 0%: 0.12+2.2+0.059 ms clock, 0.51+0.95/2.0/0+0.23 ms cpu, 192->222->152 MB, 225 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 75 @18.545s 0%: 0.50+5.1+0.39 ms clock, 2.0+0.41/2.5/0+1.5 ms cpu, 262->282->152 MB, 305 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 76 @18.562s 0%: 0.14+2.8+0.20 ms clock, 0.56+0/2.0/1.9+0.82 ms cpu, 292->302->132 MB, 305 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 77 @18.575s 0%: 0.17+2.4+0.048 ms clock, 0.69+1.1/2.2/0.17+0.19 ms cpu, 232->252->142 MB, 265 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 78 @18.585s 0%: 0.19+1.2+0.050 ms clock, 0.76+0.56/1.1/1.0+0.20 ms cpu, 252->262->112 MB, 285 MB goal, 0 MB stacks, 0 MB globals, 4 P
